type,role,sendMsgFile,Send,Recv,HandshakeCPUTime,CommCPUTime
continuity,server,resources/plain.1KB.txt,1024,1024,253106335,91293882
continuity,client,resources/plain.1KB.txt,1024,1024,252863224,99521670
continuity,server,resources/plain.1KB.txt,1024,1024,221597703,86570257
continuity,client,resources/plain.1KB.txt,1024,1024,221329813,94726685
continuity,server,resources/plain.1KB.txt,1024,1024,213838175,83937215
continuity,client,resources/plain.1KB.txt,1024,1024,213547584,93780935
continuity,server,resources/plain.1KB.txt,1024,1024,327743100,100220550
continuity,client,resources/plain.1KB.txt,1024,1024,327222239,111379023
continuity,server,resources/plain.1KB.txt,1024,1024,206306888,81080672
continuity,client,resources/plain.1KB.txt,1024,1024,206109958,88934779
continuity,server,resources/plain.1KB.txt,1024,1024,372199295,98646319
continuity,client,resources/plain.1KB.txt,1024,1024,371745274,109120549
continuity,server,resources/plain.1KB.txt,1024,1024,340449152,82977034
continuity,client,resources/plain.1KB.txt,1024,1024,340059292,93711404
continuity,server,resources/plain.1KB.txt,1024,1024,238212830,89953741
continuity,client,resources/plain.1KB.txt,1024,1024,238117379,100027641
continuity,server,resources/plain.1KB.txt,1024,1024,242660615,92602303
continuity,client,resources/plain.1KB.txt,1024,1024,242398844,101904522
continuity,server,resources/plain.1KB.txt,1024,1024,279051761,86616517
continuity,client,resources/plain.1KB.txt,1024,1024,278540761,97319668
continuity,server,resources/plain.1KB.txt,1024,1024,264315975,86872968
continuity,client,resources/plain.1KB.txt,1024,1024,263930155,97880499
continuity,server,resources/plain.1KB.txt,1024,1024,265009547,96368857
continuity,client,resources/plain.1KB.txt,1024,1024,264663846,108592450
continuity,server,resources/plain.1KB.txt,1024,1024,270340072,93702335
continuity,client,resources/plain.1KB.txt,1024,1024,270079682,108127548
continuity,server,resources/plain.1KB.txt,1024,1024,240165142,97544018
continuity,client,resources/plain.1KB.txt,1024,1024,239867111,108301489
continuity,server,resources/plain.1KB.txt,1024,1024,218314590,89358870
continuity,client,resources/plain.1KB.txt,1024,1024,218052669,98262949
continuity,server,resources/plain.1KB.txt,1024,1024,255460997,81567402
continuity,client,resources/plain.1KB.txt,1024,1024,255202747,96822627
continuity,server,resources/plain.1KB.txt,1024,1024,265963497,99819530
continuity,client,resources/plain.1KB.txt,1024,1024,265693067,111550643
continuity,server,resources/plain.1KB.txt,1024,1024,198742100,86353057
continuity,client,resources/plain.1KB.txt,1024,1024,198529010,100995202
continuity,server,resources/plain.1KB.txt,1024,1024,220302142,93274004
continuity,client,resources/plain.1KB.txt,1024,1024,219926241,105476766
continuity,server,resources/plain.1KB.txt,1024,1024,359781652,94112705
continuity,client,resources/plain.1KB.txt,1024,1024,359382681,102941764
continuity,server,resources/plain.1KB.txt,1024,1024,324515596,84373495
continuity,client,resources/plain.1KB.txt,1024,1024,324125286,94986516
continuity,server,resources/plain.1KB.txt,1024,1024,313740836,90313550
continuity,client,resources/plain.1KB.txt,1024,1024,313394256,100561401
continuity,server,resources/plain.1KB.txt,1024,1024,250301222,89774021
continuity,client,resources/plain.1KB.txt,1024,1024,250087862,100659971
continuity,server,resources/plain.1KB.txt,1024,1024,230607792,90998931
continuity,client,resources/plain.1KB.txt,1024,1024,230189781,102627933
continuity,server,resources/plain.1KB.txt,1024,1024,292636124,92369803
continuity,client,resources/plain.1KB.txt,1024,1024,292141093,102633494
continuity,server,resources/plain.1KB.txt,1024,1024,215237056,87333618
continuity,client,resources/plain.1KB.txt,1024,1024,214997796,95358846
continuity,server,resources/plain.1KB.txt,1024,1024,244463766,97787868
continuity,client,resources/plain.1KB.txt,1024,1024,244185556,108198958
continuity,server,resources/plain.1KB.txt,1024,1024,211678213,88284399
continuity,client,resources/plain.1KB.txt,1024,1024,211447643,99411110
continuity,server,resources/plain.1KB.txt,1024,1024,294103516,87912728
continuity,client,resources/plain.1KB.txt,1024,1024,293907216,96186096
continuity,server,resources/plain.1KB.txt,1024,1024,314619687,102025982
continuity,client,resources/plain.1KB.txt,1024,1024,310411562,113779795
continuity,server,resources/plain.1KB.txt,1024,1024,248563551,85330235
continuity,client,resources/plain.1KB.txt,1024,1024,248223760,93358433
continuity,server,resources/plain.1KB.txt,1024,1024,249978541,98124079
continuity,client,resources/plain.1KB.txt,1024,1024,249675182,107857558
continuity,server,resources/plain.1KB.txt,1024,1024,295674567,88656559
continuity,client,resources/plain.1KB.txt,1024,1024,295241277,99557490
continuity,server,resources/plain.1KB.txt,1024,1024,261638164,86535857
continuity,client,resources/plain.1KB.txt,1024,1024,261353293,97487058
continuity,server,resources/plain.1KB.txt,1024,1024,250272322,92986353
continuity,client,resources/plain.1KB.txt,1024,1024,249929812,101199091
continuity,server,resources/plain.1KB.txt,1024,1024,195740177,84079785
continuity,client,resources/plain.1KB.txt,1024,1024,195515356,91880033
continuity,server,resources/plain.1KB.txt,1024,1024,258396280,84639285
continuity,client,resources/plain.1KB.txt,1024,1024,257972200,96011426
continuity,server,resources/plain.1KB.txt,1024,1024,313325326,94399254
continuity,client,resources/plain.1KB.txt,1024,1024,312954425,104566895
continuity,server,resources/plain.1KB.txt,1024,1024,255559497,86206987
continuity,client,resources/plain.1KB.txt,1024,1024,255186007,94003445
continuity,server,resources/plain.1KB.txt,1024,1024,305902328,88457759
continuity,client,resources/plain.1KB.txt,1024,1024,305573408,97070858
continuity,server,resources/plain.1KB.txt,1024,1024,293203855,80722691
continuity,client,resources/plain.1KB.txt,1024,1024,292904855,88924850
continuity,server,resources/plain.1KB.txt,1024,1024,193522245,88734339
continuity,client,resources/plain.1KB.txt,1024,1024,193361025,99053280
continuity,server,resources/plain.1KB.txt,1024,1024,230718882,101612653
continuity,client,resources/plain.1KB.txt,1024,1024,230324931,112122263
continuity,server,resources/plain.1KB.txt,1024,1024,268390379,95108586
continuity,client,resources/plain.1KB.txt,1024,1024,268111099,103375944
continuity,server,resources/plain.1KB.txt,1024,1024,218829150,97279757
continuity,client,resources/plain.1KB.txt,1024,1024,218612390,106005026
continuity,server,resources/plain.1KB.txt,1024,1024,314340676,85928917
continuity,client,resources/plain.1KB.txt,1024,1024,313951205,93794065
continuity,server,resources/plain.1KB.txt,1024,1024,248759180,85879487
continuity,client,resources/plain.1KB.txt,1024,1024,248435110,93903715
continuity,server,resources/plain.1KB.txt,1024,1024,327003529,100755812
continuity,client,resources/plain.1KB.txt,1024,1024,326703159,111126522
continuity,server,resources/plain.1KB.txt,1024,1024,273178115,84479395
continuity,client,resources/plain.1KB.txt,1024,1024,272927465,93054734
continuity,server,resources/plain.1KB.txt,1024,1024,220327992,93417034
continuity,client,resources/plain.1KB.txt,1024,1024,219826392,104287785
continuity,server,resources/plain.1KB.txt,1024,1024,328810351,89082359
continuity,client,resources/plain.1KB.txt,1024,1024,328596411,99574770
continuity,server,resources/plain.1KB.txt,1024,1024,275160857,91562662
continuity,client,resources/plain.1KB.txt,1024,1024,274895017,99938340
continuity,server,resources/plain.1KB.txt,1024,1024,275094057,89316640
continuity,client,resources/plain.1KB.txt,1024,1024,274849027,98057608
continuity,server,resources/plain.1KB.txt,1024,1024,233647514,85621696
continuity,client,resources/plain.1KB.txt,1024,1024,233271014,94417095
continuity,server,resources/plain.1KB.txt,1024,1024,258772220,88865709
continuity,client,resources/plain.1KB.txt,1024,1024,258437910,100111401
continuity,server,resources/plain.1KB.txt,1024,1024,248007709,95324976
continuity,client,resources/plain.1KB.txt,1024,1024,247520159,106043407
continuity,server,resources/plain.1KB.txt,1024,1024,272678654,89520700
continuity,client,resources/plain.1KB.txt,1024,1024,272439934,100615721
continuity,server,resources/plain.1KB.txt,1024,1024,212520474,98376169
continuity,client,resources/plain.1KB.txt,1024,1024,212268974,108108299
continuity,server,resources/plain.1KB.txt,1024,1024,469315043,93786404
continuity,client,resources/plain.1KB.txt,1024,1024,468934502,103058694
continuity,server,resources/plain.1KB.txt,1024,1024,232031493,79587061
continuity,client,resources/plain.1KB.txt,1024,1024,231789223,87452298
continuity,server,resources/plain.1KB.txt,1024,1024,229387371,100040220
continuity,client,resources/plain.1KB.txt,1024,1024,229032671,108896279
continuity,server,resources/plain.1KB.txt,1024,1024,284657446,92916624
continuity,client,resources/plain.1KB.txt,1024,1024,284325736,101694273
continuity,server,resources/plain.1KB.txt,1024,1024,307095708,90720672
continuity,client,resources/plain.1KB.txt,1024,1024,306863558,101281502
continuity,server,resources/plain.1KB.txt,1024,1024,319216851,94676745
continuity,client,resources/plain.1KB.txt,1024,1024,318881080,102873874
continuity,server,resources/plain.1KB.txt,1024,1024,265097527,86321627
continuity,client,resources/plain.1KB.txt,1024,1024,264725037,94139535
continuity,server,resources/plain.1KB.txt,1024,1024,327287740,95012605
continuity,client,resources/plain.1KB.txt,1024,1024,328700701,105499045
continuity,server,resources/plain.1KB.txt,1024,1024,253218795,91879092
continuity,client,resources/plain.1KB.txt,1024,1024,252816464,99951930
continuity,server,resources/plain.1KB.txt,1024,1024,238634770,91072602
continuity,client,resources/plain.1KB.txt,1024,1024,238335360,102243243
continuity,server,resources/plain.1KB.txt,1024,1024,307367639,92811253
continuity,client,resources/plain.1KB.txt,1024,1024,307044249,102033983
continuity,server,resources/plain.1KB.txt,1024,1024,290431252,93394524
continuity,client,resources/plain.1KB.txt,1024,1024,290170752,103515084
continuity,server,resources/plain.1KB.txt,1024,1024,329671792,97151768
continuity,client,resources/plain.1KB.txt,1024,1024,329415971,107813228
continuity,server,resources/plain.1KB.txt,1024,1024,272839665,85609736
continuity,client,resources/plain.1KB.txt,1024,1024,272534074,93173884
continuity,server,resources/plain.1KB.txt,1024,1024,271428843,88451589
continuity,client,resources/plain.1KB.txt,1024,1024,271196173,99529830
continuity,server,resources/plain.1KB.txt,1024,1024,283239735,96247257
continuity,client,resources/plain.1KB.txt,1024,1024,282945764,105403807
continuity,server,resources/plain.1KB.txt,1024,1024,217734029,80077431
continuity,client,resources/plain.1KB.txt,1024,1024,217462759,90238201
continuity,server,resources/plain.1KB.txt,1024,1024,237508788,108149639
continuity,client,resources/plain.1KB.txt,1024,1024,237242869,117757178
continuity,server,resources/plain.1KB.txt,1024,1024,294020596,83128344
continuity,client,resources/plain.1KB.txt,1024,1024,293698255,91321662
continuity,server,resources/plain.1KB.txt,1024,1024,373160755,88404379
continuity,client,resources/plain.1KB.txt,1024,1024,372827335,98988100
continuity,server,resources/plain.1KB.txt,1024,1024,251832944,93981284
continuity,client,resources/plain.1KB.txt,1024,1024,251766964,102210412
continuity,server,resources/plain.1KB.txt,1024,1024,195023537,83247013
continuity,client,resources/plain.1KB.txt,1024,1024,194855116,94154305
continuity,server,resources/plain.1KB.txt,1024,1024,281425883,100565901
continuity,client,resources/plain.1KB.txt,1024,1024,281069003,111128242
continuity,server,resources/plain.1KB.txt,1024,1024,244296095,95771337
continuity,client,resources/plain.1KB.txt,1024,1024,244006475,105971557
continuity,server,resources/plain.1KB.txt,1024,1024,271522203,87872709
continuity,client,resources/plain.1KB.txt,1024,1024,271179672,99172670
continuity,server,resources/plain.1KB.txt,1024,1024,281023162,99600590
continuity,client,resources/plain.1KB.txt,1024,1024,280778922,110073091
continuity,server,resources/plain.1KB.txt,1024,1024,261717823,91524292
continuity,client,resources/plain.1KB.txt,1024,1024,261537683,99771941
continuity,server,resources/plain.1KB.txt,1024,1024,255081506,83930445
continuity,client,resources/plain.1KB.txt,1024,1024,254802097,95024575
continuity,server,resources/plain.1KB.txt,1024,1024,288783400,85755087
continuity,client,resources/plain.1KB.txt,1024,1024,288285230,96254397
continuity,server,resources/plain.1KB.txt,1024,1024,308367360,90534511
continuity,client,resources/plain.1KB.txt,1024,1024,308099760,101091452
continuity,server,resources/plain.1KB.txt,1024,1024,304723207,90589911
continuity,client,resources/plain.1KB.txt,1024,1024,303936735,99976331
continuity,server,resources/plain.1KB.txt,1024,1024,202394113,83115284
continuity,client,resources/plain.1KB.txt,1024,1024,202149653,91123082
continuity,server,resources/plain.1KB.txt,1024,1024,310228242,97548078
continuity,client,resources/plain.1KB.txt,1024,1024,310026862,107837778
continuity,server,resources/plain.1KB.txt,1024,1024,356772769,88358538
continuity,client,resources/plain.1KB.txt,1024,1024,356437719,96556217
continuity,server,resources/plain.1KB.txt,1024,1024,267401939,87334718
continuity,client,resources/plain.1KB.txt,1024,1024,267005668,98325429
continuity,server,resources/plain.1KB.txt,1024,1024,236573608,97900348
continuity,client,resources/plain.1KB.txt,1024,1024,236317788,106123587
continuity,server,resources/plain.1KB.txt,1024,1024,337644950,88973769
continuity,client,resources/plain.1KB.txt,1024,1024,337350429,96885367
continuity,server,resources/plain.1KB.txt,1024,1024,269650991,88278819
continuity,client,resources/plain.1KB.txt,1024,1024,269395891,98020869
continuity,server,resources/plain.1KB.txt,1024,1024,268307040,97067248
continuity,client,resources/plain.1KB.txt,1024,1024,268020480,106792907
continuity,server,resources/plain.1KB.txt,1024,1024,276074667,78427539
continuity,client,resources/plain.1KB.txt,1024,1024,275779097,88514340
continuity,server,resources/plain.1KB.txt,1024,1024,270045052,93275844
continuity,client,resources/plain.1KB.txt,1024,1024,269862871,103542544
continuity,server,resources/plain.1KB.txt,1024,1024,237565198,99340770
continuity,client,resources/plain.1KB.txt,1024,1024,237092738,107412208
continuity,server,resources/plain.1KB.txt,1024,1024,292322344,83880844
continuity,client,resources/plain.1KB.txt,1024,1024,291897194,95199066
continuity,server,resources/plain.1KB.txt,1024,1024,252039874,111201342
continuity,client,resources/plain.1KB.txt,1024,1024,251125352,123332394
continuity,server,resources/plain.1KB.txt,1024,1024,267776189,88733050
continuity,client,resources/plain.1KB.txt,1024,1024,267499689,97930369
continuity,server,resources/plain.1KB.txt,1024,1024,306684138,97722558
continuity,client,resources/plain.1KB.txt,1024,1024,306345668,108512549
continuity,server,resources/plain.1KB.txt,1024,1024,354734957,87838608
continuity,client,resources/plain.1KB.txt,1024,1024,354177927,99004969
continuity,server,resources/plain.1KB.txt,1024,1024,278163300,88863289
continuity,client,resources/plain.1KB.txt,1024,1024,277860800,99144069
continuity,server,resources/plain.1KB.txt,1024,1024,364307177,100354091
continuity,client,resources/plain.1KB.txt,1024,1024,364018777,111367642
continuity,server,resources/plain.1KB.txt,1024,1024,301921484,86707037
continuity,client,resources/plain.1KB.txt,1024,1024,301584263,97470188
continuity,server,resources/plain.1KB.txt,1024,1024,448050571,101485732
continuity,client,resources/plain.1KB.txt,1024,1024,447749310,110927862
continuity,server,resources/plain.1KB.txt,1024,1024,197049528,92141733
continuity,client,resources/plain.1KB.txt,1024,1024,196788568,102306193
continuity,server,resources/plain.1KB.txt,1024,1024,247936959,90813962
continuity,client,resources/plain.1KB.txt,1024,1024,247614069,99722250
continuity,server,resources/plain.1KB.txt,1024,1024,251952343,93469384
continuity,client,resources/plain.1KB.txt,1024,1024,251541503,102748044
continuity,server,resources/plain.1KB.txt,1024,1024,215384517,91834782
continuity,client,resources/plain.1KB.txt,1024,1024,215113826,103073764
continuity,server,resources/plain.1KB.txt,1024,1024,296849909,88019729
continuity,client,resources/plain.1KB.txt,1024,1024,296661739,98092499
continuity,server,resources/plain.1KB.txt,1024,1024,285659218,89484249
continuity,client,resources/plain.1KB.txt,1024,1024,285414898,99574520
continuity,server,resources/plain.1KB.txt,1024,1024,270968722,88894229
continuity,client,resources/plain.1KB.txt,1024,1024,270819912,99111180
continuity,server,resources/plain.1KB.txt,1024,1024,276679009,83331183
continuity,client,resources/plain.1KB.txt,1024,1024,276492589,92097532
continuity,server,resources/plain.1KB.txt,1024,1024,259488521,87536168
continuity,client,resources/plain.1KB.txt,1024,1024,259289511,95499186
continuity,server,resources/plain.1KB.txt,1024,1024,275123586,89570711
continuity,client,resources/plain.1KB.txt,1024,1024,274749256,100587722
continuity,server,resources/plain.1KB.txt,1024,1024,272517434,82074913
continuity,client,resources/plain.1KB.txt,1024,1024,272284604,89939720
continuity,server,resources/plain.1KB.txt,1024,1024,279039431,84914905
continuity,client,resources/plain.1KB.txt,1024,1024,278665961,95662656
continuity,server,resources/plain.1KB.txt,1024,1024,305946018,93372484
continuity,client,resources/plain.1KB.txt,1024,1024,305557577,103350844
continuity,server,resources/plain.1KB.txt,1024,1024,235297037,88001028
continuity,client,resources/plain.1KB.txt,1024,1024,235047026,96296567
continuity,server,resources/plain.1KB.txt,1024,1024,268205240,90811211
continuity,client,resources/plain.1KB.txt,1024,1024,267980750,98986050
continuity,server,resources/plain.1KB.txt,1024,1024,263214855,81977082
continuity,client,resources/plain.1KB.txt,1024,1024,262986965,91545482
continuity,server,resources/plain.1KB.txt,1024,1024,257247349,90244560
continuity,client,resources/plain.1KB.txt,1024,1024,257049279,100660921
continuity,server,resources/plain.1KB.txt,1024,1024,317157659,95884497
continuity,client,resources/plain.1KB.txt,1024,1024,316898018,105974267
continuity,server,resources/plain.1KB.txt,1024,1024,297869489,83776834
continuity,client,resources/plain.1KB.txt,1024,1024,297515759,94002535
continuity,server,resources/plain.1KB.txt,1024,1024,267988489,88830810
continuity,client,resources/plain.1KB.txt,1024,1024,267694919,100132781
continuity,server,resources/plain.1KB.txt,1024,1024,223283944,88276839
continuity,client,resources/plain.1KB.txt,1024,1024,222857074,97209978
continuity,server,resources/plain.1KB.txt,1024,1024,270033912,84942776
continuity,client,resources/plain.1KB.txt,1024,1024,269669791,95218606
continuity,server,resources/plain.1KB.txt,1024,1024,258928451,92255772
continuity,client,resources/plain.1KB.txt,1024,1024,258684161,103144444
continuity,server,resources/plain.1KB.txt,1024,1024,259703542,85115545
continuity,client,resources/plain.1KB.txt,1024,1024,259442422,95295366
continuity,server,resources/plain.1KB.txt,1024,1024,215771567,90965972
