type,role,sendMsgFile,handshake1_len,handshake2_len,handshake3_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,126467187,22291023
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,129180520,34078254
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,100267251,31173682
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,110044520,33046923
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,111871262,26834487
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,113302343,40181961
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,104695985,31772482
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,115459686,33366304
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,112868563,14611095
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,96437887,46573997
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,112513433,20438711
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,113664764,32402693
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,110924302,20611561
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,112216593,34761255
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,104232035,30949771
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,115802407,30979591
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,101897132,28297789
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,111659572,30872371
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,108217589,16100546
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,93796995,42473982
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,116365458,13161893
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,101968722,39053539
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,99237460,27679628
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,108203849,29995610
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,112213003,20417981
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,113459245,30773920
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,109588860,21806562
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,112309033,30510361
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,135580197,20211220
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,136959038,30936781
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,123624554,17289888
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,121824683,30567340
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,127388949,22656252
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,130234801,32656583
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,112438463,21243581
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,113364694,34710395
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,113805265,21799452
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,114923046,34445965
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,100370321,28105039
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,109571011,31857292
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,117702559,20013710
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,119340920,29823210
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,104915486,20102190
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,105653717,34825285
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,109576440,21159892
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,110831172,34513374
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,132964184,33326663
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,147034688,30870671
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,111857023,20380151
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,113530664,30487430
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,111670532,22042762
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,114053804,41177352
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,113289543,30377011
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,123859224,32974264
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,117744248,23122944
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,121368762,32226843
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,108497429,21197722
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,110984802,30741351
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,110356602,26072276
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,113622674,37494038
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,117904439,25032125
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,119173240,35855276
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,124897636,17863358
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,123823074,30467101
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,117712328,24975565
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,118640619,35816146
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,112075423,22181822
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,114233205,31990291
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,114861765,25229296
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,115859326,37114338
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,133067855,19697919
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,135836156,32288453
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,120021780,16602247
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,116988247,31317302
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,113042904,20799871
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,115474507,30491190
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,114750276,21481561
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,117287728,31119581
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,118138759,18692859
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,114809576,34075024
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,129738531,23383923
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,128003859,37729928
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,105329046,20803240
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,107732048,32957513
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,117410928,21248652
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,118588388,35531196
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,120836351,17916968
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,119248040,35197785
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,115981886,21790512
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,118166008,31476502
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,112446273,22789913
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,115153906,32156693
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,117995488,20333521
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,113623184,40490871
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,125685987,22464403
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,124484396,35694936
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,135744007,15430065
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,132358303,30330780
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,122082313,23914604
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,124641986,38212038
