type,role,sendMsgFile,handshake1_len,handshake2_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125630887,7852797
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130554792,13549433
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121603283,6741317
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125208226,15057974
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119897271,7398677
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123838834,14044664
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123788184,6894597
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127516318,13920964
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130619752,6535156
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133959025,15675736
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129391390,8003048
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134405385,13817464
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132898134,7153417
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136231827,19260020
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122023613,10225910
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129374410,14014855
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127149908,7279877
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130952982,16744627
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124900195,6742607
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128650219,14032324
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120660242,6873146
